代號,名稱,擴充名,漲跌,昨收,開盤,幅度%,成交價,最高,最低,成交量,昨量,定價量,漲停,跌停,單量,成交金額,賣量,買量,振幅,買進,賣出
1513,中興電,1513,3.0,171.5,167.0,1.81,168.5,169.0,166.5,3061.0,5493.0,0.0,182.0,149.0,226.0,51391.0,165.0,1.0,1.51,168.5,169.0
1503,士電,1503,-4.0,225.5,227.0,1.77,221.5,228.0,220.0,2064.0,2315.0,0.0,248.0,203.0,121.0,46065.0,10.0,16.0,3.55,221.5,222.0
1514,亞力,1514,1.0,121.5,123.5,0.82,122.5,123.5,120.5,3479.0,2638.0,0.0,133.5,109.5,182.0,42571.0,21.0,159.0,2.47,122.0,122.5
1504,東元,1504,-1.1,68.6,69.0,1.6,67.5,69.0,67.2,11775.0,22386.0,0.0,75.4,61.8,625.0,79856.0,50.0,289.0,2.62,67.4,67.5
8299,群聯,8299,80.0,2140.0,2190.0,3.74,2220.0,2280.0,2165.0,3699.0,3219.0,0.0,2350.0,1930.0,199.0,825812.0,7.0,1.0,5.37,2220.0,2225.0
4967,十銓,4967,0.0,233.0,236.5,0.0,233.0,240.5,232.0,2561.0,6627.0,0.0,256.0,210.0,149.0,60459.0,3.0,50.0,3.65,233.0,233.5
3260,威剛,3260,6.0,404.0,408.0,1.49,410.0,418.0,405.5,7745.0,5819.0,0.0,444.0,364.0,395.0,319106.0,6.0,34.0,3.09,409.5,410.0
4973,廣穎,4973,9.0,157.5,162.0,5.71,166.5,169.5,160.0,2414.0,1770.0,0.0,173.0,142.0,105.0,40012.0,11.0,10.0,6.03,166.0,166.5
2344,華邦電,2344,8.0,168.5,173.5,4.75,176.5,184.0,170.0,157224.0,144124.0,0.0,185.0,152.0,6256.0,2803121.0,421.0,306.0,8.31,176.5,177.0
2408,南亞科,2408,39.5,396.0,414.0,9.97,435.5,435.5,412.5,83361.0,61481.0,0.0,435.5,356.5,243.0,3578946.0,0.0,15173.0,5.81,435.5,0.0
8096,擎亞,8096,-3.0,169.5,169.5,1.77,166.5,177.0,163.0,27524.0,14700.0,0.0,186.0,153.0,855.0,466065.0,261.0,132.0,8.26,166.0,166.5
2301,光寶科,2301,-0.5,214.0,216.5,0.23,213.5,220.0,212.5,10173.0,12631.0,0.0,235.0,193.0,851.0,219634.0,47.0,54.0,3.5,213.0,213.5
8261,富鼎,8261,-18.0,348.0,336.5,5.25,325.0,351.0,318.5,3020.0,15289.0,0.0,377.0,309.0,117.0,100845.0,5.0,51.0,9.48,325.0,325.5
2327,國巨*,2327,9.0,891.0,915.0,1.01,900.0,948.0,900.0,49719.0,67663.0,0.0,980.0,802.0,1335.0,4584418.0,6.0,126.0,5.39,900.0,901.0
2375,凱美,2375,-3.5,192.0,196.5,1.82,188.5,199.5,188.5,9470.0,12528.0,0.0,211.0,173.0,453.0,184003.0,2.0,23.0,5.73,188.5,189.0
3026,禾伸堂,3026,52.0,953.0,966.0,5.46,1005.0,1045.0,948.0,18597.0,20352.0,0.0,1045.0,858.0,233.0,1861289.0,24.0,13.0,10.18,1005.0,1010.0
3624,光頡,3624,4.0,140.0,144.0,2.86,144.0,147.0,143.0,1436.0,1464.0,0.0,154.0,126.0,126.0,20827.0,3.0,13.0,2.86,144.0,144.5
6284,佳邦,6284,1.4,100.0,100.5,1.43,99.5,103.0,99.1,3144.0,3402.0,0.0,107.5,88.3,109.0,31574.0,1.0,17.0,3.98,99.5,99.7
2492,華新科,2492,-6.0,474.0,481.0,1.27,465.5,505.0,462.0,13470.0,23373.0,0.0,518.0,424.5,498.0,650055.0,12.0,5.0,9.12,465.5,466.0
6173,信昌電,6173,4.0,273.0,276.0,1.48,275.0,295.0,266.5,10861.0,11369.0,0.0,298.0,244.5,219.0,303108.0,1.0,5.0,10.52,275.0,275.5
5347,世界,5347,-3.5,176.5,177.5,1.98,173.0,178.0,170.5,20279.0,25067.0,0.0,194.0,159.0,953.0,353021.0,163.0,208.0,4.25,172.5,173.0
6770,力積電,6770,-0.1,71.2,71.5,0.14,71.1,74.3,70.9,148998.0,138408.0,0.0,78.3,64.1,6289.0,1079031.0,48.0,376.0,4.78,71.1,71.2
2363,矽統,2363,-1.4,67.0,67.4,2.09,65.6,67.5,65.2,7180.0,11888.0,0.0,73.7,60.3,619.0,47685.0,1.0,43.0,3.43,65.6,65.7
8086,宏捷科,8086,-3.0,139.0,140.0,2.16,136.0,141.0,135.5,2140.0,2433.0,0.0,152.5,125.5,123.0,29619.0,6.0,63.0,3.96,136.0,136.5
6831,邁科,6831,-37.0,819.0,812.0,4.52,782.0,821.0,779.0,860.0,1023.0,0.0,900.0,738.0,42.0,68698.0,1.0,4.0,5.13,782.0,787.0
7610,聯友金屬-創,7610,165.0,2485.0,2700.0,6.64,2650.0,2730.0,2600.0,775.0,1055.0,0.0,2730.0,2240.0,26.0,206590.0,5.0,2.0,5.23,2640.0,2650.0
2454,聯發科,2454,-70.0,3995.0,3970.0,1.75,3925.0,4050.0,3925.0,5670.0,6005.0,0.0,4390.0,3600.0,505.0,2257506.0,8.0,50.0,3.13,3920.0,3925.0
5274,信驊,5274,-310.0,13975.0,13975.0,2.22,13665.0,14180.0,13410.0,382.0,245.0,0.0,15370.0,12580.0,27.0,523499.0,10.0,1.0,5.51,13665.0,13680.0
6533,晶心科,6533,-1.0,192.5,193.0,0.52,191.5,195.0,191.0,144.0,207.0,0.0,211.5,173.5,5.0,2764.0,1.0,1.0,2.08,191.5,192.0
4919,新唐,4919,4.0,158.5,163.0,2.52,162.5,168.0,159.5,8742.0,9010.0,0.0,174.0,143.0,426.0,142909.0,10.0,35.0,5.36,162.0,162.5
52,富邦科技,52,-0.15,62.15,62.3,0.24,62.0,62.7,61.85,17609.0,21775.0,0.0,68.35,55.95,428.0,109657.0,206.0,34.0,1.37,61.95,62.0
50,元大台灣50,50,-0.25,106.05,106.35,0.24,105.8,107.0,105.45,51566.0,86827.0,0.0,116.65,95.45,1435.0,547515.0,112.0,396.0,1.46,105.8,105.85
00403A,主動統一升級50,00403A,0.07,10.41,10.45,0.67,10.48,10.66,10.42,162730.0,240343.0,0.0,11.45,9.37,2012.0,171609.0,283.0,1438.0,2.31,10.48,10.49
